id;"Comp. Word";Frequency;"Grammatical Feature";Pronunciation;"English Translation";Position;Kanji;KanjiID
2907;愛情;2779;"general noun";aizyoo;love;L;愛;4
3422;愛称;2184;"general noun";aisyoo;"pet name";L;愛;4
3941;愛国;1695;"general noun";aikoku;country;L;愛;4
4095;愛好;1584;"light-verb -suru attached";aikoo;love;L;愛;4
5110;愛犬;1068;"general noun";aiken;"pet dog";L;愛;4
5251;愛用;1010;"light-verb -suru attached";aiyoo;favorite;L;愛;4
5402;愛着;949;"light-verb -suru attached";aityaku;attachment;L;愛;4
5509;愛読;911;"light-verb -suru attached";aidoku;"reading with pleasure";L;愛;4
5610;愛人;878;"general noun";aizin;lover;L;愛;4
6395;愛護;661;"light-verb -suru attached";aigo;protection;L;愛;4
8085;愛憎;385;"general noun";aizoo;"love and hate";L;愛;4
8855;愛想;306;"general noun";aiso;civility;L;愛;4
9553;愛車;247;"general noun";aisya;"beloved car";L;愛;4
9759;愛子;234;"general noun";itosigo;"beloved child";L;愛;4
10538;愛妻;188;"general noun";aisai;"beloved wife";L;愛;4
10958;愛娘;168;"general noun";manamusume;"one's beloved daughter";L;愛;4
11046;愛嬌;164;"general noun";aikyoo;charm;L;愛;4
11361;愛育;151;"light-verb -suru attached";aiiku;"tender nurture";L;愛;4
12435;愛唱;113;"light-verb -suru attached";aisyoo;"fondness for singing";L;愛;4
13196;愛馬;92;"general noun";aiba;"favourite horse";L;愛;4
13525;愛飲;84;"light-verb -suru attached";aiin;"usual drink";L;愛;4
13840;愛鳥;77;"general noun";aityoo;"pet bird";L;愛;4
14394;愛敬;66;"general noun";aikyoo;charm;L;愛;4
14670;愛玩;61;"light-verb -suru attached";aigan;"caring for";L;愛;4
14745;愛蔵;60;"light-verb -suru attached";aizoo;treasured;L;愛;4
14872;愛染;58;"general noun";aizen;"being drawn to something one loves";L;愛;4
15410;愛社;50;"general noun";aisya;"devotion to one's company";L;愛;4
15640;愛惜;47;"light-verb -suru attached";aiseki;"missing someone";L;愛;4
16390;愛欲;38;"general noun";aiyoku;passion;L;愛;4
16487;愛児;37;"general noun";aizi;"beloved child";L;愛;4
16488;愛息;37;"general noun";aisoku;"beloved son";L;愛;4
16986;愛郷;32;"general noun";aikyoo;"love for one's hometown";L;愛;4
16987;愛書;32;"general noun";aisyo;"great love of books";L;愛;4
17676;愛撫;26;"light-verb -suru attached";aibu;caress;L;愛;4
18434;愛顧;21;"light-verb -suru attached";aiko;patronage;L;愛;4
20485;愛妾;11;"general noun";aisyoo;"beloved concubine";L;愛;4
21876;愛誦;7;"light-verb -suru attached";aisyoo;"love of reading";L;愛;4
24998;愛嬢;2;"general noun";aizyoo;"one's beloved daughter";L;愛;4
26148;愛慕;1;"light-verb -suru attached";aibo;love;L;愛;4
26149;愛憐;1;"general noun";airen;sympathy;L;愛;4
2463;恋愛;3622;"light-verb -suru attached";renai;love;R;愛;4
6111;敬愛;732;"light-verb -suru attached";keiai;"respect and affection";R;愛;4
6499;友愛;639;"general noun";yuuai;fraternity;R;愛;4
7712;純愛;435;"general noun";zyunai;"pure love";R;愛;4
8685;最愛;323;"general noun";saiai;beloved;R;愛;4
9310;性愛;266;"general noun";seiai;"sexual love";R;愛;4
10026;情愛;218;"general noun";zyooai;affection;R;愛;4
11077;慈愛;163;"general noun";ziai;affection;R;愛;4
11897;博愛;131;"general noun";hakuai;charity;R;愛;4
12108;親愛;124;"adjectival noun, na-adjective";sinai;"deep affection";R;愛;4
