あ;a;[a]
い;i;[i]
う;u;[ɯ]
え;e;[e]
お;o;[o]
か;ka;[ka]
き;ki;[ki]
く;ku;[kɯ]
け;ke;[ke]
こ;ko;[ko]
きゃ;kya;[kʲa]
きゅ;kyu;[kʲɯ]
きょ;kyo;[kʲo]
さ;sa;[sa]
し;shi;[ɕi]
す;su;[sɯ]
せ;se;[se]
そ;so;[so]
しゃ;sha;[ɕa]
しゅ;shu;[ɕɯ]
しょ;sho;[ɕo]
た;ta;[ta]
ち;chi;[tɕi]
つ;tsu;[tsɯ]
て;te;[te]
と;to;[to]
ちゃ;cha;[tɕa]
ちゅ;chu;[tɕɯ]
ちょ;cho;[tɕo]
な;na;[na]
に;ni;[ɲi]
ぬ;nu;[nɯ]
ね;ne;[ne]
の;no;[no]
にゃ;nya;[ɲa]
にゅ;nyu;[ɲɯ]
にょ;nyo;[ɲo]
は;ha;[ha]
ひ;hi;[çi]
ふ;fu;[ɸɯ]
へ;he;[he]
ほ;ho;[ho]
ひゃ;hya;[ça]
ひゅ;hyu;[çɯ]
ひょ;hyo;[ço]
ま;ma;[ma]
み;mi;[mi]
む;mu;[mɯ]
め;me;[me]
も;mo;[mo]
みゃ;mya;[mʲa]
みゅ;myu;[mʲɯ]
みょ;myo;[mʲo]
や;ya;[ja]
ゆ;yu;[jɯ]
よ;yo;[jo]
ら;ra;[ɾa]
り;ri;[ɾi]
る;ru;[ɾɯ]
れ;re;[ɾe]
ろ;ro;[ɾo]
りゃ;rya;[ɾʲa]
りゅ;ryu;[ɾʲɯ]
りょ;ryo;[ɾʲo]
わ;wa;[ɰa]
ゐ;wi;[i]
ゑ;we;[e]
を;wo;[o]
ん;n;[n]
が;ga;[ɡa]
ぎ;gi;[ɡi]
ぐ;gu;[ɡɯ]
げ;ge;[ɡe]
ご;go;[ɡo]
ぎゃ;gya;[ɡʲa]
ぎゅ;gyu;[ɡʲɯ]
ぎょ;gyo;[ɡʲo]
ざ;za;[(d)za]
じ;ji;[(d)ʑi]
ず;zu;[(d)zɯ]
ぜ;ze;[(d)ze]
ぞ;zo;[(d)zo]
じゃ;ja;[(d)ʑa]
じゅ;ju;[(d)ʑɯ]
じょ;jo;[(d)ʑo]
だ;da;[da]
ぢ;ji, dji, jyi, di;[(d)ʑi]
づ;dzu, zu, du;[(d)zɯ]
で;de;[de]
ど;do;[do]
ぢゃ;ja;[(d)ʑa]
ぢゅ;ju;[(d)ʑɯ]
ぢょ;jo;[(d)ʑo]
ば;ba;[ba]
び;bi;[bi]
ぶ;bu;[bɯ]
べ;be;[be]
ぼ;bo;[bo]
びゃ;bya;[bʲa]
びゅ;byu;[bʲɯ]
びょ;byo;[bʲo]
ぱ;pa;[pa]
ぴ;pi;[pi]
ぷ;pu;[pɯ]
ぺ;pe;[pe]
ぽ;po;[po]
ぴゃ;pya;[pʲa]
ぴゅ;pyu;[pʲɯ]
ぴょ;pyo;[pʲo]
