ア;a;[a]
イ;i;[i]
ウ;u;[ɯ]
エ;e;[e]
オ;o;[o]
カ;ka;[ka]
キ;ki;[ki]
ク;ku;[kɯ]
ケ;ke;[ke]
コ;ko;[ko]
キャ;kya;[kʲa]
キュ;kyu;[kʲɯ]
キョ;kyo;[kʲo]
サ;sa;[sa]
シ;shi;[ɕi]
ス;su;[sɯ]
セ;se;[se]
ソ;so;[so]
シャ;sha;[ɕa]
シュ;shu;[ɕɯ]
ショ;sho;[ɕo]
タ;ta;[ta]
チ;chi;[t͡ɕi]
ツ;tsu;[t͡sɯ]
テ;te;[te]
ト;to;[to]
チャ;cha;[t͡ɕa]
チュ;chu;[t͡ɕɯ]
チョ;cho;[t͡ɕo]
ナ;na;[na]
ニ;ni;[ɲi]
ヌ;nu;[nɯ]
ネ;ne;[ne]
ノ;no;[no]
ニャ;nya;[ɲa]
ニュ;nyu;[ɲɯ]
ニョ;nyo;[ɲo]
ハ;ha;[ha]
ヒ;hi;[çi]
フ;fu;[ɸɯ]
ヘ;he;[he]
ホ;ho;[ho]
ヒャ;hya;[ça]
ヒュ;hyu;[çɯ]
ヒョ;hyo;[ço]
マ;ma;[ma]
ミ;mi;[mi]
ム;mu;[mɯ]
メ;me;[me]
モ;mo;[mo]
ミャ;mya;[mʲa]
ミュ;myu;[mʲɯ]
ミョ;myo;[mʲo]
ヤ;ya;[ja]
ユ;yu;[jɯ]
ヨ;yo;[jo]
ラ;ra;[ɾa]
リ;ri;[ɾi]
ル;ru;[ɾɯ]
レ;re;[ɾe]
ロ;ro;[ɾo]
リャ;rya;[ɾʲa]
リュ;ryu;[ɾʲɯ]
リョ;ryo;[ɾʲo]
ワ;wa;[ɰa]
ヰ;wi;[i]
ヱ;we;[e]
ヲ;wo;[o]
ン;n;[n m ŋ]
ガ;ga;[ɡa]
ギ;gi;[ɡi]
グ;gu;[ɡɯ]
ゲ;ge;[ɡe]
ゴ;go;[ɡo]
ギャ;gya;[ɡʲa]
ギュ;gyu;[ɡʲɯ]
ギョ;gyo;[ɡʲo]
ザ;za;[za]
ジ;ji;[(d)ʑi]
ズ;zu;[(d)zɯ]
ゼ;ze;[ze]
ゾ;zo;[zo]
ジャ;ja;[(d)ʑa]
ジュ;ju;[(d)ʑɯ]
ジョ;jo;[(d)ʑo]
ダ;da;[da]
ヂ;ji;[(d)ʑi]
ヅ;zu;[(d)zɯ]
デ;de;[de]
ド;do;[do]
ヂャ;ja;[(d)ʑa]
ヂュ;ju;[(d)ʑɯ]
ヂョ;jo;[(d)ʑo]
バ;ba;[ba]
ビ;bi;[bi]
ブ;bu;[bɯ]
ベ;be;[be]
ボ;bo;[bo]
ビャ;bya;[bʲa]
ビュ;byu;[bʲɯ]
ビョ;byo;[bʲo]
パ;pa;[pa]
ピ;pi;[pi]
プ;pu;[pɯ]
ペ;pe;[pe]
ポ;po;[po]
ピャ;pya;[pʲa]
ピュ;pyu;[pʲɯ]
ピョ;pyo;[pʲo]
